system_prompt,question
You are an AI assistant that follows instruction extremely well. Help as much as you can.,"Facts:   - source: http://www.cricinfo.com/ci/content/player/15817.html cricinfo    - fivefor: & ndash ;    - country: england      - bowling: leg break    - birth date: 9 november 1983    - deliveries: balls 54    - columns: 1    - s/s: & ndash ; / & ndash ;    - year: 2001 2010    - birth place: coventry , , england    - date: 1983 11 9 yes    - column: la    - catches/stumpings: & ndash ; / & ndash ;    - fullname: bhavin joshi    - tenfor: & ndash ;    - matches: 2    - batting: right-handed    - runs: 12    - wickets: 4    - club: warwickshire cricket board   Based on these bullet points, write a short biography describing the life of bhavin joshi .
The answer to this question is:"
"You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.","Translate """"The role of the ECB is key,"" Vitanov said, ""but the measures it undertakes must be radical, especially in Greece, Italy, Spain and Portugal."" to Turkish?"
"You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.","Article:Foreign Minister Riad Malki attended a low-key ceremony at The Hague.
 after the Palestinians signed its founding treaty, the Rome Statute.
Palestinian officials said they would wait for the outcome of the review before considering further action.
 its military and civilian leaders could face charges if they are believed to have committed crimes on Palestinian territory.
Palestinian militants will also be open to prosecution.
 the Palestinians became the 123rd member of the ICC, 90 days after they lodged a declaration accepting the jurisdiction of the court over alleged crimes committed in the occupied territories of East Jerusalem, the West Bank and Gaza from 13 June 2014.
 which left more than 2,200 people dead.
 ICC chief prosecutor Fatou Bensouda announced that she had opened a preliminary examination to determine whether the criteria had been met to merit pursuing a formal investigation.
 according to the ICC, and Mr Malki told Voice of Palestine radio on Wednesday: ""I don't want to disappoint our people, but the ICC procedures are slow and long and might face lots of obstacles and challenges and might take years.""
 but experts say only the prosecutor and in some instances its judges have the authority to decide what cases to pursue.
 with critics claiming it undermined chances for a negotiated peace deal.
 and warned that it would cut funding to the Palestinian Authority.
Israeli Prime Minister accused the Palestinians of choosing ""a path of confrontation"" and froze the transfer of about $400m (Â£270m) in tax revenues collected on behalf of the PA between January and March.
 Human Rights Watch called on governments seeking to penalise the Palestinians for joining the ICC to end their pressure.
 not Palestine's decision to join a treaty to which over 100 countries around the world are members,"" said Balkees Jarrah, the US-based group's international justice counsel.
 including some that it believed were war crimes, during the 2014 hostilities in Gaza. But, it added, both sides had ""yet to make meaningful progress in providing justice for serious laws-of-war violations"".
 and the Israel government has announced an investigation by the state comptroller. The PA and Hamas, the militant group that dominates Gaza, are not known to have carried out any investigations.
Action is also being considered by the Palestinians against the expansion of Jewish settlements in the West Bank and East Jerusalem - land Israel has occupied since the 1967 Middle East war.
Israel's government is expected to use third-party NGOs to pursue their own complaints against Palestinians in the ICC.

A summary of the above article is?"
,"Given the question: Please answer the following question about this movie plot. If it's un-answerable, please output ""No answer"".  Question: What is Lewis' first name in the future? Movie plot title: Meet the Robinsons Movie plot: Lewis is an aspiring 12-year-old inventor at an orphanage whose inventions have been scaring off potential parents. He decides that his mother, who abandoned him at the orphanage as an infant, is the only one who ever truly loved him and works on a machine to scan his memory to locate her. Taking his memory scanner to his school's science fair, Lewis meets 13-year-old Wilbur Robinson, a mysterious boy claiming to be a time cop from the future. Wilbur needs to recover a time machine that a man wearing a bowler hat has stolen. Lewis tries to demonstrate the scanner, but it falls apart, throwing the science fair into chaos. Upset, Lewis leaves while the Bowler Hat Guy, with the help of a robotic bowler hat named Doris, repairs and steals the scanner. Wilbur meets Lewis at the orphanage and asks him to repair the scanner. Lewis agrees to do so only if Wilbur can prove he is telling the truth, which Wilbur does by taking them to the year 2037 in a second time machine. When they arrive, however, Lewis says he can use the time machine instead of the scanner, and he and Wilbur get into an argument and crash. Wilbur then asks Lewis to fix the time machine, but Lewis has another condition: Wilbur has to take him to visit his mother afterwards. Reluctantly, Wilbur agrees and hides Lewis in the garage. Lewis doesn't stay there for long, however, and ends up meeting the rest of the Robinsons except for Cornelius, Wilbur's father, who is away on a business trip. Following Lewis, the Bowler Hat Guy and Doris unsuccessfully try to kidnap him. Meanwhile, the Robinsons offer to adopt Lewis, but change their mind when they learn that he's from the past. Wilbur admits to lying to Lewis about taking him back to see his mom, causing Lewis to run off in disgust. Lewis then discovers that Cornelius Robinson is, in fact, a future version of himself, and Wilbur is his future son. Lewis also finds out that the Bowler Hat Guy is a grown-up version of Lewis' roommate, Michael ""Goob"" Yagoobian. Because he was always kept awake by Lewis...
The answer is:"
You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps.,"Sri Lanka's cricket team returned home to Colombo early Wednesday, as police in Pakistan searched for at least 12 gunmen believed responsible for the attack that left seven people dead. Sri Lankan player Thilan Samaraweera is taken aboard an ambulance Wednesday in Colombo. Police in Lahore on Wednesday confirmed six police officers and a driver of a van carrying umpires were killed after earlier reports had put the death toll at eight. Six team members were wounded by glass and shrapnel, and two -- Tharanga Paranavitana and Thilan Samaraweera -- were shot in the chest and leg, respectively. Both men were being treated in Colombo and in stable condition, officials said. ""We are very lucky that no one [sustained] any serious injuries and everyone is in good shape,"" one player told reporters upon arriving in the capital. ""There are a few more guys who need more time to recover. And we can hopefully put this behind us and move forward."" The attack happened Tuesday at about 9 a.m. (11 p.m. ET Monday), as the visiting Sri Lankan team's bus approached Lahore's Gaddafi Stadium for a match against Pakistan.  See a map of where the attack took place ». The brazen daylight attack sent shock waves across the cricket-crazy region and raised fears about the future of world cricket matches in Pakistan, which has been reeling from a string of terrorist attacks. iReport: Send us your videos, photos. ""The events can only be described as shocking, and we send our sympathy to the relatives of those who lost their lives,"" International Cricket Council President David Morgan said at a news conference in London Tuesday. ""On many occasions we've been told that cricketers would never be targeted in Pakistan. And this morning's events have proved that to be quite incorrect.""  Watch ICC's reaction to the attack ». ICC Chief Executive Haroon Lorgat said none of the teams had been threatened before Tuesday's attack, which happened about 150 meters from the stadium in Lahore. Investigators cannot yet say who was responsible for the ambush.  Watch footage of the gunmen staging their attack ». Pakistan President Asif Ali Zardari praised Pakistani police, saying the officers ""rose to the occasion and laid down their lives to protect our Sri Lankan guests."" He also telephoned Sri Lankan President Mahinda Rajapaksa to express his condemnation and regrets, and to emphasize his determination to investigate.  Watch Sri Lankan's foreign minister condemnation of the attack ». Teams have long stayed away from Pakistan, concerned about the security situation in a country that is battling an escalating pro-Taliban insurgency. But Sri Lanka -- a country enduring its own civil war with separatist rebels -- agreed in December to visit for a series of matches, after the Indian cricket team called off its tour following the deadly terror attacks in Mumbai in November. Indian authorities blamed those attacks on Pakistan-based militants. The Pakistan Cricket Board had said it was set to lose more than $16 million as a result of India's cancellation, but the Sri Lanka visit was to help it recoup most of the costs, officials said. The Sri Lankan offer to tour was a reciprocal gesture. Pakistan was one of two countries that agreed to tour Sri Lanka during the 1996 World Cup tournament, while other countries refused to travel there because of security concerns. With this attack, fans now worry that Pakistan won't be able to co-host the 2011 Cricket World Cup with India, Bangladesh and Sri Lanka. Morgan said the ICC's board will be meeting in April to consider whether the Cup will include stops in Pakistan. ""The board will have to think very carefully about the extent to which Pakistan will be used for that event,"" Morgan said. ""It's a very important event, but the safety and security of players, officials and supporters is very important and the board will be taking that into account.""  Read profiles of the wounded players ». ""This has really damaged Pakistan,"" former Pakistani cricket player Zahir Abbas told Geo-TV. ""Already some teams didn't want to come to Pakistan. Now who will come after this incident?"" John Stern, the editor of cricket magazine Wisden, said it was ""not possible"" to imagine international cricket taking place in Pakistan in the near future. He described the situation for the sport in the country as ""desperate.""  Watch how attack strikes at legitimacy of Pakistani government ». He said one possibility for the Pakistani team is to play its matches in the United Kingdom, which has a large Pakistani community.
Summarize the highlights of this article."
You are an AI assistant that helps people find information. Provide a detailed answer so user don’t need to search outside to understand the answer.,"Context: The Rajasthan Royals (often abbreviated as RR) are a cricket team in the Indian Premier League from the city of Jaipur. Founded in 2008 as one of the initial eight IPL franchises, the Royals are owned by Manoj Badale. The team played its home matches at the Sawai Mansingh Stadium in Jaipur and also had secondary home grounds at the Sardar Patel Stadium at Ahmedabad and the Brabourne Stadium at Mumbai.

Question: who is the new owner of rajasthan royals?
Steam of consciousness below:
"
You are an AI assistant that helps people find information. Provide a detailed answer so user don’t need to search outside to understand the answer.,"A game called hockey was played in English public schools in the early 19th century. Lord Lytton wrote in 1853 that On the common some young men were playing at hockey. That old-fashioned game, now very uncommon in England, except at schools ... Hockey's popularity increased with that of other team games. A version of the game played in south-east London was rougher than the modern version, played on a very large field (247m by 64m), and used a cube of black rubber and rough planed sticks. The modern game was developed on the other side of London by Middlesex cricket clubs, especially Teddington Hockey Club. The members of these clubs were looking for winter exercise, but did not particularly care for football. In 1870, members of the Teddington cricket club, who had recently moved to play in Bushy Park, were looking for a winter activity. They experimented with a' stick' game, based loosely on the rules of association football. Teddington played the game on the smooth outfield of their cricket pitch and used a cricket ball, so allowing smooth and predictable motion. By 1874 they had begun to draw up rules for their game, including banning the raising of the stick above shoulder height and stipulating that a shot at goal must take place within the circle in front of it. An association was formed in 1875, which dissolved after seven years, but in 1886 the Hockey Association was formed by seven London clubs and representatives from Trinity College, Cambridge. Blackheath were one of the founder members, but refused to accept the rules drawn up by the other clubs and left to found the National Hockey Union. The Union failed, but the Association grew rapidly.

Answer this question: where is first hockey club set up in world? Let's give stream of consciousness first:"
You are an AI assistant. You will be given a task. You must generate a detailed and long answer.,"Summarize:

He was found guilty of complicity in the 2003 massacre of villagers in the gold-rich Ituri province of north-eastern Democratic Republic of Congo.
He becomes just the second person to be convicted by the court since it was set up in The Hague in 2002.
He would have been the first convicted of sexual crimes.
 who was transferred to The Hague by the Congolese authorities in 2007, had denied the charges.
 which broke out in 1999 and continued until 2003, started as a struggle for control of land and resources.
 exacerbated by the presence of Uganda troops, that killed an estimated 50,000 people.
Q&A: International Criminal Court
Will Africa pull out of the ICC?
Will trials bring peace to Ituri?
 killing more than 200 people.
 the judges said he had helped plan the attack, and procure the weapons used, but they acquitted him of direct involvement.
He was also cleared of using child soldiers.
 he was convicted of being an accessory to four counts of war crimes and one crime against humanity.
He will be sentenced at a future hearing.
 which is close to the Ugandan border.
 the attack happened early in the morning and some villagers were shot while they slept, while others were cut up with machetes to save bullets.
"" said presiding judge Bruno Cotte.
 which had the support of the Lendu ethnic group.
 he was to blame for the atrocities committed by his fighters against the villagers from the Hema ethnic group.
The judges found that women who survived the massacre had been raped or kept as sex slaves but they did not find enough evidence to convict Katanga of carrying out these crimes.
Another person was charged by the ICC in connection with the Bogoro attack.
 which also took part in the raid.
 meaning lion.
 she says.
 peace deals were signed and Katanga was given a position in the Congolese army.
But a year after joining the military he was imprisoned for bad behaviour and was still in prison when the ICC issued its arrest warrant for him.
His is one of the longest-running cases at the ICC.
 Thomas Lubanga, a rival militia leader in Ituri, was sentenced to 14 years in jail by the ICC for recruiting and using child soldiers."
You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps.,"Q:Generate a question about the following movie plot: In a fictional country in a highly mountainous region of Europe, a motley group of travelers is delayed by an avalanche that has blocked the railway tracks. The passengers cram into a small village hotel for the night. Among the hotel guests eager to return to England are two British gentlemen, Caldicott and Charters, who are worried about missing the upcoming cricket Test match. The only room left for them is the maid's room. Other Britons are Iris (Margaret Lockwood), a young woman of independent means who has spent a holiday with some friends, now returning home to be married, Miss Froy (May Whitty), an elderly lady who has worked some years abroad as a governess and music teacher, Gilbert (Michael Redgrave), a young musicologist who has been studying the folk songs of the region, and a secretive couple Mr. and Mrs. Todhunter (Cecil Parker and Linden Travers) who are having a clandestine affair. Folk dancers stomp loudly in Gilbert's room just above Iris, making it impossible for Miss Froy to properly hear a musician singing a haunting melody out in the street. Iris bribes the manager to throw Gilbert out of his room. Gilbert retaliates by barging into Iris's room and refusing to leave. Miss Froy seems to particularly enjoy the musician in the street below, and she throws a coin out her window. The music stops, as a murderous hand is seen to strangle the balladeer, but no one seems to notice anything wrong.The next morning, as the passengers are leaving the hotel to board the train, Miss Froy asks Iris for help in finding her luggage. They huddle around a pile of baggage, and just then a flowerpot is pushed off a window ledge from an upper floor. The pot appears meant for Miss Froy, but it knocks Iris on the head, instead. She says she is all right and gets on the train, but drops unconscious once aboard. When she recovers, she finds herself seated in a compartment across from Miss Froy, who has evidently helped her. In the compartment are other passengers who appear not to understand English.Iris and Miss...
A:"
You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps.,"The ECB's first supplementary longer-term refinancing operation (LTRO) with a six-month maturity was announced March 2008. Previously the longest tender offered was three months. It announced two 3-month and one 6-month full allotment of Long Term Refinancing Operations (LTROs). The first tender was settled 3 April, and was more than four times oversubscribed. The €25 billion auction drew bids amounting to €103.1 billion, from 177 banks. Another six-month tender was allotted on 9 July, again to the amount of €25 billion. The first 12-month LTRO in June 2009 had close to 1100 bidders.
 say ""unanswerable"")"
